City,State,Country,Latitude,Longitude,AQI (US),Main (US),AQI (CN),Main (CN),Timestamp,Temperature,Pressure,Humidity,Wind Speed,Wind Direction,Weather Icon,,
Yangon,Yangon,Myanmar,16.80528,96.15611,133,p2,67,p2,04:13.6,28,1011,65,1.54,330,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,164,p2,108,p2,04:14.0,28,1012,65,1.03,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,162,p2,101,p2,04:14.3,27,1013,69,1.54,310,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,156,p2,88,p2,04:14.6,26,1013,78,1.54,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,138,p2,69,p2,04:14.9,25,1013,78,2.06,40,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,122,p2,61,p2,04:15.3,25,1013,78,1.03,20,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,135,p2,68,p2,04:15.6,24,1013,83,1.03,30,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,140,p2,70,p2,04:15.9,24,1012,83,1.03,60,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,130,p2,66,p2,04:16.3,24,1012,83,1.03,310,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,132,p2,66,p2,04:16.6,23,1012,83,2.06,330,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,155,p2,85,p2,04:19.2,21,1012,88,1.54,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,154,p2,82,p2,04:19.5,20,1012,94,2.06,330,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,149,p2,75,p2,04:19.9,19,1013,88,1.54,330,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,128,p2,65,p2,04:20.2,19,1014,88,1.03,320,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,118,p2,59,p2,04:20.5,22,1015,73,1.03,350,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,118,p2,59,p2,04:20.8,23,1015,64,4.12,330,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,93,p2,46,p2,04:21.2,25,1015,69,4.12,20,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,83,p2,39,p2,04:21.5,28,1014,58,5.14,330,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,74,p2,33,p2,04:21.8,29,1013,48,5.14,50,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,65,p2,27,p2,04:22.6,29,1012,48,5.14,300,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,57,p2,21,p2,04:22.9,31,1011,43,5.14,330,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,60,p2,24,p2,04:23.1,32,1010,38,3.6,280,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,65,p2,27,p2,04:23.4,32,1010,38,3.6,270,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,77,p2,35,p2,04:23.7,29,1010,38,3.48,311,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,132,p2,66,p2,04:24.0,29,1012,62,3.09,300,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,153,p2,81,p2,04:24.3,27,1013,69,2.06,340,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,147,p2,74,p2,04:24.6,26,1013,78,2.57,270,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,139,p2,70,p2,04:24.9,24,1014,83,2.57,270,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,121,p2,61,p2,04:25.3,24,1014,83,1.54,300,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,119,p2,60,p2,04:25.6,24,1014,83,1.54,350,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,112,p2,56,p2,04:25.9,23,1014,94,1.54,270,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,105,p2,53,p2,04:26.3,23,1013,94,1.54,290,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,105,p2,52,p2,04:26.6,23,1013,94,1.54,310,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,113,p2,57,p2,04:26.9,22,1013,94,1.54,340,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,105,p2,53,p2,04:29.5,21,1013,94,1.54,360,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,111,p2,56,p2,04:29.9,19,1012,94,1.54,20,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,153,p2,81,p2,04:30.2,17,1013,94,2.57,30,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,124,p2,63,p2,04:30.5,17,1013,94,2.06,320,50d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,118,p2,59,p2,04:30.9,19,1014,88,2.06,350,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,103,p2,52,p2,04:31.2,22,1014,88,2.57,340,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,114,p2,57,p2,04:31.5,24,1014,78,4.12,340,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,95,p2,47,p2,04:31.9,26,1013,69,3.6,350,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,83,p2,39,p2,04:32.2,28,1012,58,4.63,300,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,99,p2,50,p2,04:32.6,29,1011,58,3.6,270,01d,,
